,times,upward_incident_reserve,downward_incident_reserve,To regulate up,To regulate down,Incentive component,Consume,Feed,Regulation state
0,2015-12-31 23:15:00,0.0,0.0,32.02,22.43,0,22.43,22.43,-1
1,2015-12-31 23:30:00,0.0,0.0,0.0,26.14,0,26.14,26.14,-1
2,2015-12-31 23:45:00,0.0,0.0,38.99,26.14,0,38.99,38.99,1
3,2016-01-01 00:00:00,0.0,0.0,33.02,0.0,0,33.02,33.02,1
4,2016-01-01 00:15:00,0.0,0.0,32.62,0.0,0,32.62,32.62,1
5,2016-01-01 00:30:00,0.0,0.0,30.48,0.0,0,30.48,30.48,1
6,2016-01-01 00:45:00,0.0,0.0,30.48,0.0,0,30.48,30.48,1
7,2016-01-01 01:00:00,0.0,0.0,0.0,0.0,0,30.96,30.96,0
8,2016-01-01 01:15:00,0.0,0.0,154.02,0.0,0,154.02,154.02,1
9,2016-01-01 01:30:00,0.0,0.0,40.48,0.0,0,40.48,40.48,1
10,2016-01-01 01:45:00,0.0,0.0,28.18,0.0,0,28.18,28.18,1
11,2016-01-01 02:00:00,0.0,0.0,0.0,0.0,0,28.58,28.58,0
12,2016-01-01 02:15:00,0.0,0.0,38.99,0.0,0,38.99,38.99,1
13,2016-01-01 02:30:00,0.0,0.0,34.48,0.0,0,34.48,34.48,1
14,2016-01-01 02:45:00,0.0,0.0,30.02,27.14,0,27.14,27.14,-1
15,2016-01-01 03:00:00,0.0,0.0,0.0,27.14,0,27.14,27.14,-1
16,2016-01-01 03:15:00,0.0,0.0,0.0,27.14,0,27.14,27.14,-1
17,2016-01-01 03:30:00,0.0,0.0,0.0,28.14,0,28.14,28.14,-1
18,2016-01-01 03:45:00,0.0,0.0,0.0,0.0,0,28.58,28.58,0
19,2016-01-01 04:00:00,0.0,0.0,34.48,0.0,0,34.48,34.48,1
20,2016-01-01 04:15:00,0.0,0.0,30.48,0.0,0,30.48,30.48,1
21,2016-01-01 04:30:00,0.0,0.0,30.48,0.0,0,30.48,30.48,1
22,2016-01-01 04:45:00,0.0,0.0,32.62,0.0,0,32.62,32.62,1
23,2016-01-01 05:00:00,0.0,0.0,33.02,0.0,0,33.02,33.02,1
24,2016-01-01 05:15:00,0.0,0.0,30.02,0.0,0,30.02,30.02,1
25,2016-01-01 05:30:00,0.0,0.0,30.48,0.0,0,30.48,30.48,1
26,2016-01-01 05:45:00,0.0,0.0,31.92,0.0,0,31.92,31.92,1
27,2016-01-01 06:00:00,0.0,0.0,31.02,0.0,0,31.02,31.02,1
28,2016-01-01 06:15:00,0.0,0.0,28.18,26.14,0,28.58,26.14,2
29,2016-01-01 06:30:00,0.0,0.0,0.0,22.43,0,22.43,22.43,-1
30,2016-01-01 06:45:00,0.0,0.0,0.0,26.14,0,26.14,26.14,-1
31,2016-01-01 07:00:00,0.0,0.0,28.78,26.14,0,28.78,28.78,1
32,2016-01-01 07:15:00,0.0,0.0,28.18,12.27,0,12.27,12.27,-1
33,2016-01-01 07:30:00,0.0,0.0,0.0,6.03,0,6.03,6.03,-1
34,2016-01-01 07:45:00,0.0,0.0,0.0,11.6,0,11.6,11.6,-1
35,2016-01-01 08:00:00,0.0,0.0,0.0,22.43,0,22.43,22.43,-1
36,2016-01-01 08:15:00,0.0,0.0,0.0,11.03,0,11.03,11.03,-1
37,2016-01-01 08:30:00,0.0,0.0,0.0,15.37,0,15.37,15.37,-1
38,2016-01-01 08:45:00,0.0,0.0,0.0,23.03,0,23.03,23.03,-1
39,2016-01-01 09:00:00,0.0,0.0,0.0,23.43,0,23.43,23.43,-1
40,2016-01-01 09:15:00,0.0,0.0,0.0,-20.03,0,-20.03,-20.03,-1
41,2016-01-01 09:30:00,0.0,0.0,0.0,-20.03,0,-20.03,-20.03,-1
42,2016-01-01 09:45:00,0.0,0.0,0.0,27.48,0,27.48,27.48,-1
43,2016-01-01 10:00:00,0.0,0.0,0.0,27.48,0,27.48,27.48,-1
44,2016-01-01 10:15:00,0.0,0.0,0.0,23.48,0,23.48,23.48,-1
45,2016-01-01 10:30:00,0.0,0.0,0.0,16.24,0,16.24,16.24,-1
46,2016-01-01 10:45:00,0.0,0.0,0.0,23.48,0,23.48,23.48,-1
47,2016-01-01 11:00:00,0.0,0.0,0.0,14.5,0,14.5,14.5,-1
48,2016-01-01 11:15:00,0.0,0.0,0.0,14.26,0,14.26,14.26,-1
49,2016-01-01 11:30:00,0.0,0.0,0.0,-12.03,0,-12.03,-12.03,-1
50,2016-01-01 11:45:00,0.0,0.0,0.0,-16.03,0,-16.03,-16.03,-1
