,times,upward_incident_reserve,downward_incident_reserve,To regulate up,To regulate down,Incentive component,Consume,Feed,Regulation state
0,2020-12-31 23:15:00,0.0,0.0,0.0,3.78,0,3.78,3.78,-1
1,2020-12-31 23:30:00,0.0,0.0,0.0,12.27,0,12.27,12.27,-1
2,2020-12-31 23:45:00,0.0,0.0,42.89,9.59,0,42.89,9.59,2
3,2021-01-01 00:00:00,0.0,0.0,43.64,34.59,0,43.64,34.59,2
4,2021-01-01 00:15:00,0.0,0.0,0.0,31.59,0,31.59,31.59,-1
5,2021-01-01 00:30:00,0.0,0.0,0.0,0.0,0,42.08,42.08,0
6,2021-01-01 00:45:00,0.0,0.0,0.0,0.0,0,42.08,42.08,0
7,2021-01-01 01:00:00,0.0,0.0,0.0,39.97,0,39.97,39.97,-1
8,2021-01-01 01:15:00,0.0,0.0,0.0,34.59,0,34.59,34.59,-1
9,2021-01-01 01:30:00,0.0,0.0,0.0,11.94,0,11.94,11.94,-1
10,2021-01-01 01:45:00,0.0,0.0,0.0,11.94,0,11.94,11.94,-1
11,2021-01-01 02:00:00,0.0,0.0,0.0,11.94,0,11.94,11.94,-1
12,2021-01-01 02:15:00,0.0,0.0,0.0,11.79,0,11.79,11.79,-1
13,2021-01-01 02:30:00,0.0,0.0,0.0,10.0,0,10.0,10.0,-1
14,2021-01-01 02:45:00,0.0,0.0,0.0,-73.5,0,-73.5,-73.5,-1
15,2021-01-01 03:00:00,0.0,0.0,0.0,-4.82,0,-4.82,-4.82,-1
16,2021-01-01 03:15:00,0.0,0.0,0.0,36.56,0,36.56,36.56,-1
17,2021-01-01 03:30:00,0.0,0.0,0.0,36.56,0,36.56,36.56,-1
18,2021-01-01 03:45:00,0.0,0.0,0.0,26.59,0,26.59,26.59,-1
19,2021-01-01 04:00:00,0.0,0.0,0.0,-8.45,0,-8.45,-8.45,-1
20,2021-01-01 04:15:00,0.0,0.0,0.0,31.59,0,31.59,31.59,-1
21,2021-01-01 04:30:00,0.0,0.0,0.0,26.59,0,26.59,26.59,-1
22,2021-01-01 04:45:00,0.0,0.0,0.0,34.05,0,34.05,34.05,-1
23,2021-01-01 05:00:00,0.0,0.0,0.0,-13.86,0,-13.86,-13.86,-1
24,2021-01-01 05:15:00,0.0,0.0,0.0,-19.7,0,-19.7,-19.7,-1
25,2021-01-01 05:30:00,0.0,0.0,0.0,34.0,0,34.0,34.0,-1
26,2021-01-01 05:45:00,0.0,0.0,0.0,34.0,0,34.0,34.0,-1
27,2021-01-01 06:00:00,0.0,0.0,0.0,36.69,0,36.69,36.69,-1
28,2021-01-01 06:15:00,0.0,0.0,0.0,0.0,0,42.08,42.08,0
29,2021-01-01 06:30:00,0.0,0.0,0.0,0.0,0,42.08,42.08,0
30,2021-01-01 06:45:00,0.0,0.0,0.0,40.28,0,40.28,40.28,-1
31,2021-01-01 07:00:00,0.0,0.0,0.0,0.0,0,42.08,42.08,0
32,2021-01-01 07:15:00,0.0,0.0,0.0,-158.73,0,-158.73,-158.73,-1
33,2021-01-01 07:30:00,0.0,0.0,0.0,-158.73,0,-158.73,-158.73,-1
34,2021-01-01 07:45:00,0.0,0.0,0.0,1.27,0,1.27,1.27,-1
35,2021-01-01 08:00:00,0.0,0.0,0.0,1.27,0,1.27,1.27,-1
36,2021-01-01 08:15:00,0.0,0.0,0.0,10.0,0,10.0,10.0,-1
37,2021-01-01 08:30:00,0.0,0.0,0.0,-122.88,0,-122.88,-122.88,-1
38,2021-01-01 08:45:00,0.0,0.0,0.0,6.3,0,6.3,6.3,-1
39,2021-01-01 09:00:00,0.0,0.0,0.0,37.24,0,37.24,37.24,-1
40,2021-01-01 09:15:00,0.0,0.0,0.0,34.47,0,34.47,34.47,-1
41,2021-01-01 09:30:00,0.0,0.0,0.0,37.24,0,37.24,37.24,-1
42,2021-01-01 09:45:00,0.0,0.0,0.0,39.67,0,39.67,39.67,-1
43,2021-01-01 10:00:00,0.0,0.0,0.0,0.0,0,42.08,42.08,0
44,2021-01-01 10:15:00,0.0,0.0,0.0,0.0,0,42.08,42.08,0
45,2021-01-01 10:30:00,0.0,0.0,0.0,0.0,0,42.08,42.08,0
46,2021-01-01 10:45:00,0.0,0.0,0.0,0.0,0,42.08,42.08,0
47,2021-01-01 11:00:00,0.0,0.0,0.0,22.16,0,22.16,22.16,-1
48,2021-01-01 11:15:00,0.0,0.0,0.0,19.24,0,19.24,19.24,-1
49,2021-01-01 11:30:00,0.0,0.0,0.0,-119.22,0,-119.22,-119.22,-1
50,2021-01-01 11:45:00,0.0,0.0,0.0,20.54,0,20.54,20.54,-1
51,2021-01-01 12:00:00,0.0,0.0,0.0,-119.22,0,-119.22,-119.22,-1
52,2021-01-01 12:15:00,0.0,0.0,0.0,-124.51,0,-124.51,-124.51,-1
53,2021-01-01 12:30:00,0.0,0.0,0.0,22.01,0,22.01,22.01,-1
54,2021-01-01 12:45:00,0.0,0.0,0.0,-1.88,0,-1.88,-1.88,-1
55,2021-01-01 13:00:00,0.0,0.0,0.0,5.49,0,5.49,5.49,-1
56,2021-01-01 13:15:00,0.0,0.0,0.0,31.31,0,31.31,31.31,-1
57,2021-01-01 13:30:00,0.0,0.0,0.0,39.64,0,39.64,39.64,-1
58,2021-01-01 13:45:00,0.0,0.0,0.0,29.44,0,29.44,29.44,-1
59,2021-01-01 14:00:00,0.0,0.0,0.0,-22.26,0,-22.26,-22.26,-1
60,2021-01-01 14:15:00,0.0,0.0,0.0,-61.59,0,-61.59,-61.59,-1
61,2021-01-01 14:30:00,0.0,0.0,43.42,-61.59,0,43.42,43.42,1
62,2021-01-01 14:45:00,0.0,0.0,0.0,39.82,0,39.82,39.82,-1
63,2021-01-01 15:00:00,0.0,0.0,0.0,0.0,0,42.08,42.08,0
64,2021-01-01 15:15:00,0.0,0.0,0.0,35.56,0,35.56,35.56,-1
65,2021-01-01 15:30:00,0.0,0.0,0.0,4.57,0,4.57,4.57,-1
66,2021-01-01 15:45:00,0.0,0.0,0.0,0.0,0,42.28,42.28,0
67,2021-01-01 16:00:00,0.0,0.0,0.0,0.0,0,33.24,33.24,0
68,2021-01-01 16:15:00,0.0,0.0,0.0,19.24,0,19.24,19.24,-1
69,2021-01-01 16:30:00,0.0,0.0,0.0,0.0,0,42.61,42.61,0
70,2021-01-01 16:45:00,0.0,0.0,0.0,41.48,0,41.48,41.48,-1
71,2021-01-01 17:00:00,0.0,0.0,0.0,0.0,0,42.61,42.61,0
72,2021-01-01 17:15:00,0.0,0.0,0.0,0.0,0,42.63,42.63,0
73,2021-01-01 17:30:00,0.0,0.0,0.0,0.0,0,42.63,42.63,0
74,2021-01-01 17:45:00,0.0,0.0,0.0,0.0,0,42.63,42.63,0
75,2021-01-01 18:00:00,0.0,0.0,0.0,0.0,0,42.63,42.63,0
76,2021-01-01 18:15:00,0.0,0.0,0.0,29.77,0,29.77,29.77,-1
77,2021-01-01 18:30:00,0.0,0.0,0.0,29.77,0,29.77,29.77,-1
78,2021-01-01 18:45:00,0.0,0.0,43.73,34.24,0,43.73,34.24,2
79,2021-01-01 19:00:00,0.0,0.0,0.0,31.24,0,31.24,31.24,-1
80,2021-01-01 19:15:00,0.0,0.0,50.97,31.24,0,50.97,50.97,1
81,2021-01-01 19:30:00,0.0,0.0,243.74,0.0,0,243.74,243.74,1
82,2021-01-01 19:45:00,0.0,0.0,43.47,0.0,0,43.47,43.47,1
83,2021-01-01 20:00:00,0.0,0.0,0.0,0.0,0,34.75,34.75,0
84,2021-01-01 20:15:00,0.0,0.0,0.0,0.0,0,35.25,35.25,0
85,2021-01-01 20:30:00,0.0,0.0,43.15,0.0,0,43.15,43.15,1
86,2021-01-01 20:45:00,0.0,0.0,0.0,0.0,0,34.75,34.75,0
87,2021-01-01 21:00:00,0.0,0.0,0.0,0.0,0,34.75,34.75,0
88,2021-01-01 21:15:00,0.0,0.0,0.0,37.24,0,37.24,37.24,-1
89,2021-01-01 21:30:00,0.0,0.0,0.0,34.24,0,34.24,34.24,-1
90,2021-01-01 21:45:00,0.0,0.0,0.0,29.77,0,29.77,29.77,-1
91,2021-01-01 22:00:00,0.0,0.0,0.0,29.77,0,29.77,29.77,-1
92,2021-01-01 22:15:00,0.0,0.0,0.0,34.24,0,34.24,34.24,-1
93,2021-01-01 22:30:00,0.0,0.0,0.0,12.27,0,12.27,12.27,-1
