,times,upward_incident_reserve,downward_incident_reserve,To regulate up,To regulate down,Incentive component,Consume,Feed,Regulation state
0,2017-12-31 23:15:00,0.0,0.0,58.62,-57.54,0,58.62,-57.54,2
1,2017-12-31 23:30:00,0.0,0.0,37.02,-57.54,0,37.02,37.02,1
2,2017-12-31 23:45:00,0.0,0.0,0.0,0.0,0,33.1,33.1,0
3,2018-01-01 00:00:00,0.0,0.0,0.0,0.0,0,33.1,33.1,0
4,2018-01-01 00:15:00,0.0,0.0,0.0,0.0,0,33.09,33.09,0
5,2018-01-01 00:30:00,0.0,0.0,35.19,0.0,0,35.19,35.19,1
6,2018-01-01 00:45:00,0.0,0.0,0.0,0.0,0,33.56,33.56,0
7,2018-01-01 01:00:00,0.0,0.0,0.0,26.09,0,26.09,26.09,-1
8,2018-01-01 01:15:00,0.0,0.0,36.62,33.62,0,36.62,36.62,1
9,2018-01-01 01:30:00,0.0,0.0,32.45,0.0,0,32.45,32.45,1
10,2018-01-01 01:45:00,0.0,0.0,39.54,0.0,0,39.54,39.54,1
11,2018-01-01 02:00:00,0.0,0.0,39.54,31.03,0,31.03,31.03,-1
12,2018-01-01 02:15:00,0.0,0.0,52.62,34.63,0,52.62,52.62,1
13,2018-01-01 02:30:00,0.0,0.0,52.62,0.0,0,52.62,52.62,1
14,2018-01-01 02:45:00,0.0,0.0,33.82,34.8,0,34.8,34.8,-1
15,2018-01-01 03:00:00,0.0,0.0,0.0,26.91,0,26.91,26.91,-1
16,2018-01-01 03:15:00,0.0,0.0,41.79,34.53,0,41.79,41.79,1
17,2018-01-01 03:30:00,0.0,0.0,36.62,0.0,0,36.62,36.62,1
18,2018-01-01 03:45:00,0.0,0.0,32.37,0.0,0,32.37,32.37,1
19,2018-01-01 04:00:00,0.0,0.0,36.62,0.0,0,36.62,36.62,1
20,2018-01-01 04:15:00,0.0,0.0,32.05,0.0,0,32.05,32.05,1
21,2018-01-01 04:30:00,0.0,0.0,0.0,0.0,0,32.82,32.82,0
22,2018-01-01 04:45:00,0.0,0.0,36.62,0.0,0,36.62,36.62,1
23,2018-01-01 05:00:00,0.0,0.0,40.62,0.0,0,40.62,40.62,1
24,2018-01-01 05:15:00,0.0,0.0,36.28,0.0,0,36.28,36.28,1
25,2018-01-01 05:30:00,0.0,0.0,50.14,0.0,0,50.14,50.14,1
26,2018-01-01 05:45:00,0.0,0.0,44.17,0.0,0,44.17,44.17,1
27,2018-01-01 06:00:00,0.0,0.0,52.28,0.0,0,52.28,52.28,1
28,2018-01-01 06:15:00,0.0,0.0,32.36,0.0,0,32.36,32.36,1
29,2018-01-01 06:30:00,0.0,0.0,43.59,0.0,0,43.59,43.59,1
30,2018-01-01 06:45:00,0.0,0.0,51.59,0.0,0,51.59,51.59,1
31,2018-01-01 07:00:00,0.0,0.0,52.28,0.0,0,52.28,52.28,1
32,2018-01-01 07:15:00,0.0,0.0,47.66,-65.75,0,47.66,-65.75,2
33,2018-01-01 07:30:00,0.0,0.0,58.94,-65.75,0,58.94,58.94,1
34,2018-01-01 07:45:00,0.0,0.0,58.94,19.03,0,19.03,19.03,-1
35,2018-01-01 08:00:00,0.0,0.0,0.0,15.03,0,15.03,15.03,-1
36,2018-01-01 08:15:00,0.0,0.0,0.0,-73.62,0,-73.62,-73.62,-1
37,2018-01-01 08:30:00,0.0,0.0,0.0,-57.51,0,-57.51,-57.51,-1
38,2018-01-01 08:45:00,0.0,0.0,0.0,2.55,0,2.55,2.55,-1
39,2018-01-01 09:00:00,0.0,0.0,0.0,-70.17,0,-70.17,-70.17,-1
40,2018-01-01 09:15:00,0.0,0.0,0.0,14.9,0,14.9,14.9,-1
41,2018-01-01 09:30:00,0.0,0.0,0.0,14.9,0,14.9,14.9,-1
42,2018-01-01 09:45:00,0.0,0.0,0.0,26.93,0,26.93,26.93,-1
43,2018-01-01 10:00:00,0.0,0.0,0.0,30.03,0,30.03,30.03,-1
44,2018-01-01 10:15:00,0.0,0.0,0.0,35.55,0,35.55,35.55,-1
45,2018-01-01 10:30:00,0.0,0.0,0.0,33.28,0,33.28,33.28,-1
46,2018-01-01 10:45:00,0.0,0.0,0.0,0.0,0,33.95,33.95,0
47,2018-01-01 11:00:00,0.0,0.0,0.0,0.0,0,33.94,33.94,0
48,2018-01-01 11:15:00,0.0,0.0,0.0,-62.54,0,-62.54,-62.54,-1
49,2018-01-01 11:30:00,0.0,0.0,0.0,10.42,0,10.42,10.42,-1
50,2018-01-01 11:45:00,0.0,0.0,0.0,0.0,0,34.22,34.22,0
51,2018-01-01 12:00:00,0.0,0.0,0.0,0.0,0,34.23,34.23,0
52,2018-01-01 12:15:00,0.0,0.0,0.0,0.0,0,34.03,34.03,0
53,2018-01-01 12:30:00,0.0,0.0,42.35,0.0,0,42.35,42.35,1
54,2018-01-01 12:45:00,0.0,0.0,61.6,0.0,0,61.6,61.6,1
55,2018-01-01 13:00:00,0.0,0.0,52.4,0.0,0,52.4,52.4,1
56,2018-01-01 13:15:00,0.0,0.0,52.4,17.53,0,17.53,17.53,-1
57,2018-01-01 13:30:00,0.0,0.0,0.0,0.0,0,33.83,33.83,0
58,2018-01-01 13:45:00,0.0,0.0,0.0,0.0,0,33.83,33.83,0
59,2018-01-01 14:00:00,0.0,0.0,46.31,0.0,0,46.31,46.31,1
60,2018-01-01 14:15:00,0.0,0.0,46.31,35.88,0,35.88,35.88,-1
61,2018-01-01 14:30:00,0.0,0.0,0.0,0.0,0,33.82,33.82,0
62,2018-01-01 14:45:00,0.0,0.0,46.05,0.0,0,46.05,46.05,1
63,2018-01-01 15:00:00,0.0,0.0,52.28,0.0,0,52.28,52.28,1
64,2018-01-01 15:15:00,0.0,0.0,52.28,-50.42,0,-50.42,-50.42,-1
65,2018-01-01 15:30:00,0.0,0.0,0.0,0.0,0,33.95,33.95,0
66,2018-01-01 15:45:00,0.0,0.0,43.02,0.0,0,43.02,43.02,1
67,2018-01-01 16:00:00,0.0,0.0,101.45,0.0,0,101.45,101.45,1
68,2018-01-01 16:15:00,0.0,0.0,36.28,29.63,0,36.28,29.63,2
69,2018-01-01 16:30:00,0.0,0.0,36.28,0.0,0,36.28,36.28,1
70,2018-01-01 16:45:00,0.0,0.0,58.28,0.0,0,58.28,58.28,1
71,2018-01-01 17:00:00,0.0,0.0,46.28,0.0,0,46.28,46.28,1
72,2018-01-01 17:15:00,0.0,0.0,33.62,-63.12,0,33.62,-63.12,2
73,2018-01-01 17:30:00,0.0,0.0,0.0,33.28,0,33.28,33.28,-1
74,2018-01-01 17:45:00,0.0,0.0,0.0,-64.13,0,-64.13,-64.13,-1
75,2018-01-01 18:00:00,0.0,0.0,0.0,-69.5,0,-69.5,-69.5,-1
76,2018-01-01 18:15:00,0.0,0.0,89.83,-69.5,0,89.83,89.83,1
77,2018-01-01 18:30:00,0.0,0.0,54.9,0.0,0,54.9,54.9,1
78,2018-01-01 18:45:00,0.0,0.0,40.37,0.0,0,40.37,40.37,1
79,2018-01-01 19:00:00,0.0,0.0,33.53,34.24,0,33.74,33.74,2
80,2018-01-01 19:15:00,0.0,0.0,0.0,34.73,0,34.73,34.73,-1
81,2018-01-01 19:30:00,0.0,0.0,40.28,0.0,0,40.28,40.28,1
82,2018-01-01 19:45:00,0.0,0.0,40.28,12.87,0,12.87,12.87,-1
83,2018-01-01 20:00:00,0.0,0.0,0.0,17.0,0,17.0,17.0,-1
84,2018-01-01 20:15:00,0.0,0.0,0.0,27.34,0,27.34,27.34,-1
85,2018-01-01 20:30:00,0.0,0.0,0.0,12.34,0,12.34,12.34,-1
86,2018-01-01 20:45:00,0.0,0.0,0.0,-72.66,0,-72.66,-72.66,-1
87,2018-01-01 21:00:00,0.0,0.0,0.0,4.94,0,4.94,4.94,-1
88,2018-01-01 21:15:00,0.0,0.0,46.28,4.94,0,46.28,46.28,1
89,2018-01-01 21:30:00,0.0,0.0,47.63,23.73,0,47.63,23.73,2
90,2018-01-01 21:45:00,0.0,0.0,47.63,-22.6,0,-22.6,-22.6,-1
91,2018-01-01 22:00:00,0.0,0.0,0.0,22.87,0,22.87,22.87,-1
92,2018-01-01 22:15:00,0.0,0.0,52.1,23.79,0,52.1,52.1,1
93,2018-01-01 22:30:00,0.0,0.0,34.51,23.79,0,34.51,23.79,2
94,2018-01-01 22:45:00,0.0,0.0,0.0,-76.21,0,-76.21,-76.21,-1
95,2018-01-01 23:00:00,0.0,0.0,0.0,-47.37,0,-47.37,-47.37,-1
