,times,upward_incident_reserve,downward_incident_reserve,To regulate up,To regulate down,Incentive component,Consume,Feed,Regulation state
0,2016-12-31 23:15:00,0.0,0.0,250.0,-200.0,0,250.0,-200.0,2
1,2016-12-31 23:30:00,0.0,0.0,250.0,0.0,0,250.0,250.0,1
2,2016-12-31 23:45:00,0.0,0.0,0.0,0.0,0,33.56,33.56,0
3,2017-01-01 00:00:00,0.0,0.0,42.89,0.0,0,42.89,42.89,1
4,2017-01-01 00:15:00,0.0,0.0,72.28,0.0,0,72.28,72.28,1
5,2017-01-01 00:30:00,0.0,0.0,250.0,0.0,0,250.0,250.0,1
6,2017-01-01 00:45:00,0.0,0.0,39.13,33.12,0,39.13,33.12,2
7,2017-01-01 01:00:00,0.0,0.0,46.69,0.0,0,46.69,46.69,1
8,2017-01-01 01:15:00,0.0,0.0,250.0,0.0,0,250.0,250.0,1
9,2017-01-01 01:30:00,0.0,0.0,250.0,0.0,0,250.0,250.0,1
10,2017-01-01 01:45:00,0.0,0.0,250.0,31.63,0,31.63,31.63,-1
11,2017-01-01 02:00:00,0.0,0.0,0.0,35.63,0,35.63,35.63,-1
12,2017-01-01 02:15:00,0.0,0.0,250.0,36.63,0,250.0,34.33,2
13,2017-01-01 02:30:00,0.0,0.0,49.13,0.0,0,49.13,49.13,1
14,2017-01-01 02:45:00,0.0,0.0,49.13,36.63,0,36.63,36.63,-1
15,2017-01-01 03:00:00,0.0,0.0,0.0,31.63,0,31.63,31.63,-1
16,2017-01-01 03:15:00,0.0,0.0,50.02,36.63,0,50.02,50.02,1
17,2017-01-01 03:30:00,0.0,0.0,42.39,0.0,0,42.39,42.39,1
18,2017-01-01 03:45:00,0.0,0.0,43.13,0.0,0,43.13,43.13,1
19,2017-01-01 04:00:00,0.0,0.0,42.39,0.0,0,42.39,42.39,1
20,2017-01-01 04:15:00,0.0,0.0,42.39,36.63,0,36.63,36.63,-1
21,2017-01-01 04:30:00,0.0,0.0,0.0,0.0,0,34.33,34.33,0
22,2017-01-01 04:45:00,0.0,0.0,49.13,0.0,0,49.13,49.13,1
23,2017-01-01 05:00:00,0.0,0.0,56.02,0.0,0,56.02,56.02,1
24,2017-01-01 05:15:00,0.0,0.0,49.13,0.0,0,49.13,49.13,1
25,2017-01-01 05:30:00,0.0,0.0,250.0,0.0,0,250.0,250.0,1
26,2017-01-01 05:45:00,0.0,0.0,44.29,0.0,0,44.29,44.29,1
27,2017-01-01 06:00:00,0.0,0.0,0.0,0.0,0,34.33,34.33,0
28,2017-01-01 06:15:00,0.0,0.0,0.0,35.63,0,35.63,35.63,-1
29,2017-01-01 06:30:00,0.0,0.0,0.0,0.0,0,34.33,34.33,0
30,2017-01-01 06:45:00,0.0,0.0,49.13,0.0,0,49.13,49.13,1
31,2017-01-01 07:00:00,0.0,0.0,49.13,0.0,0,49.13,49.13,1
32,2017-01-01 07:15:00,0.0,0.0,49.13,36.63,0,36.63,36.63,-1
33,2017-01-01 07:30:00,0.0,0.0,40.99,36.63,0,40.99,40.99,1
34,2017-01-01 07:45:00,0.0,0.0,49.13,0.0,0,49.13,49.13,1
