,times,upward_incident_reserve,downward_incident_reserve,To regulate up,To regulate down,Incentive component,Consume,Feed,Regulation state
0,2014-12-31 23:15:00,0.0,0.0,0.0,-53.72,0,-53.72,-53.72,-1
1,2014-12-31 23:30:00,0.0,0.0,0.0,-53.72,0,-53.72,-53.72,-1
2,2014-12-31 23:45:00,0.0,0.0,0.0,32.24,0,32.24,32.24,-1
3,2015-01-01 00:00:00,0.0,0.0,0.0,29.8,0,29.8,29.8,-1
4,2015-01-01 00:15:00,0.0,0.0,0.0,25.8,0,25.8,25.8,-1
5,2015-01-01 00:30:00,0.0,0.0,0.0,0.0,0,35.02,35.02,0
6,2015-01-01 00:45:00,0.0,0.0,0.0,0.0,0,35.26,35.26,0
7,2015-01-01 01:00:00,0.0,0.0,0.0,33.56,0,33.56,33.56,-1
8,2015-01-01 01:15:00,0.0,0.0,32.99,31.43,0,32.99,32.99,1
9,2015-01-01 01:30:00,0.0,0.0,41.06,0.0,0,41.06,41.06,1
10,2015-01-01 01:45:00,0.0,0.0,41.06,-44.2,0,-44.2,-44.2,-1
11,2015-01-01 02:00:00,0.0,0.0,0.0,-55.41,0,-55.41,-55.41,-1
12,2015-01-01 02:15:00,0.0,0.0,0.0,13.59,0,13.59,13.59,-1
13,2015-01-01 02:30:00,0.0,0.0,0.0,29.8,0,29.8,29.8,-1
14,2015-01-01 02:45:00,0.0,0.0,0.0,25.8,0,25.8,25.8,-1
15,2015-01-01 03:00:00,0.0,0.0,0.0,-150.03,0,-150.03,-150.03,-1
16,2015-01-01 03:15:00,0.0,0.0,0.0,25.8,0,25.8,25.8,-1
17,2015-01-01 03:30:00,0.0,0.0,0.0,26.64,0,26.64,26.64,-1
18,2015-01-01 03:45:00,0.0,0.0,0.0,26.37,0,26.37,26.37,-1
19,2015-01-01 04:00:00,0.0,0.0,0.0,31.03,0,31.03,31.03,-1
20,2015-01-01 04:15:00,0.0,0.0,39.07,31.03,0,39.07,39.07,1
