"datum","PTE","periode_van","periode_tm","indicatie noodvermogen op","indicatie noodvermogen af","opregelen","Afregelen","prikkelcomponent","Afnemen","invoeden","regeltoestand"
"01-01-2023","78","19:15","19:30","","","","-300","0","-300","-300","-1"
"01-01-2023","79","19:30","19:45","","","","-300","0","-300","-300","-1"
"01-01-2023","80","19:45","20:00","","","","-300","0","-300","-300","-1"
"01-01-2023","81","20:00","20:15","","","","-52,54","0","-52,54","-52,54","-1"
"01-01-2023","82","20:15","20:30","","","","-31,89","0","-31,89","-31,89","-1"
"01-01-2023","83","20:30","20:45","","","","-247,76","0","-247,76","-247,76","-1"
"01-01-2023","84","20:45","21:00","","","","-247,76","0","-247,76","-247,76","-1"
"01-01-2023","85","21:00","21:15","","","","91,42","0","91,42","91,42","-1"
"01-01-2023","86","21:15","21:30","","","","91,42","0","91,42","91,42","-1"
"01-01-2023","87","21:30","21:45","","","","126,76","0","126,76","126,76","-1"
"01-01-2023","88","21:45","22:00","","","","","0","138,74","138,74","0"
"01-01-2023","89","22:00","22:15","","","181,38","","0","181,38","181,38","1"
"01-01-2023","90","22:15","22:30","","","196","","0","196","196","1"
"01-01-2023","91","22:30","22:45","","","181,43","","0","181,43","181,43","1"
"01-01-2023","92","22:45","23:00","","","166,84","","0","166,84","166,84","1"
"01-01-2023","93","23:00","23:15","","","160,02","","0","160,02","160,02","1"
"01-01-2023","94","23:15","23:30","","","","-42,04","0","-42,04","-42,04","-1"
"01-01-2023","95","23:30","23:45","","","","-247,76","0","-247,76","-247,76","-1"
"01-01-2023","96","23:45","00:00","","","","-247,76","0","-247,76","-247,76","-1"
"02-01-2023","1","00:00","00:15","","","","-700","0","-700","-700","-1"
"02-01-2023","2","00:15","00:30","","","","-700","0","-700","-700","-1"
"02-01-2023","3","00:30","00:45","","","","-356,26","0","-356,26","-356,26","-1"
"02-01-2023","4","00:45","01:00","","","","-700","0","-700","-700","-1"
"02-01-2023","5","01:00","01:15","","","","-67,1","0","-67,1","-67,1","-1"
"02-01-2023","6","01:15","01:30","","","","97,01","0","97,01","97,01","-1"
"02-01-2023","7","01:30","01:45","","","","109,9","0","109,9","109,9","-1"
"02-01-2023","8","01:45","02:00","","","","","0","154,45","154,45","0"
"02-01-2023","9","02:00","02:15","","","166,38","","0","166,38","166,38","1"
"02-01-2023","10","02:15","02:30","","","148,73","","0","148,73","148,73","1"
"02-01-2023","11","02:30","02:45","","","","","0","156,86","156,86","0"
"02-01-2023","12","02:45","03:00","","","","-15,62","0","-15,62","-15,62","-1"
"02-01-2023","13","03:00","03:15","","","","-15,62","0","-15,62","-15,62","-1"
"02-01-2023","14","03:15","03:30","","","","-29,82","0","-29,82","-29,82","-1"
"02-01-2023","15","03:30","03:45","","","","-50","0","-50","-50","-1"
"02-01-2023","16","03:45","04:00","","","","-77,85","0","-77,85","-77,85","-1"
